Last_First,First_Last,info,location,latitude,longitude
"COBBS, ALEATHEA THOMPSON",ALEATHEA THOMPSON COBBS,"nuary 20, 1890. Children:Two. Moved to Mobile in 1884 and lived there until 1937. Instrumental in the development of the Presbyter",Mobile,30.6954,-88.0399
"CRANE, MARY POWELL",MARY POWELL CRANE,"1873-75.) Education taught at home by her mother, formerly a teacher at St Wilfrid's Episcopal School in Marion. Lived in Europe f",Marion,32.6323,-87.3192
"VAUGHAN, SUSAN KIRKMAN",SUSAN KIRKMAN VAUGHAN,Ph.D. Peabody Normal College. Taught at Florence Synodical College in public schools taught history at Florence State Normal Schoo,Florence,34.7998,-87.6773
"DAVIS, NORAH KNOWLES",NORAH KNOWLES DAVIS,"is. Education:Private tutors. Taught in public schools in Alabama, Florida, Mississippi, Tennessee, and Arkansas, 1893-1900 worked",Kansas,33.9048,-87.5578
"KIRK, DOLLY WILLIAMS",DOLLY WILLIAMS KIRK,"Michigan Columbia University. Taught in the grammar schools of Montgomery beginning in 1894, later became a member of the Sidney L",Columbia,31.2927,-85.1124
"BRYAN, JAMES ALEXANDER",JAMES ALEXANDER BRYAN,r his service to the poor and homeless. Advocated for prohibition and civil rights. City of Birmingham placed a statue of Brother ,Birmingham,33.5186,-86.8104
"FOSTER, HENRY BACON",HENRY BACON FOSTER," school in Gadsden, 1882-1883 practiced law in Tuscaloosa, 1884-86 Elected County Solicitor, 1886-1890, 1901-03 mayor of Tuscaloos",Gadsden,34.0143,-86.0066
"GREENE, DANIEL ARTHUR",DANIEL ARTHUR GREENE,"sity of Alabama, LL.B., 1886. Practiced law in Birmingham after 1886 served in Alabama State Legislature during 1896-98 associate ",Birmingham,33.5186,-86.8104
"KENNY, MICHAEL S.",MICHAEL S. KENNY,"ha, Neb. lectured extensively moved to New York in 1908 and co-founded America, a Catholic weekly, and was its associate editor un",York,32.4868,-88.2961
"RIVES, AMELIE LOUISE",AMELIE LOUISE RIVES,"Goddaughter of Robert E. Lee. Moved to Mobile in 1870. Married:John Armstrong Chanler, June 14, 1888 divorced, 1895. Married:Princ",Mobile,30.6954,-88.0399
"BROCK, GEORGE WILLIAM",GEORGE WILLIAM BROCK," Normal School in Livingston, business manager and chairman of the faculty 1907-1910 president, 1910-1936. Member of the State Boa",Livingston,32.5848,-88.1872
"JOHNSON, MARIETTA LOUISE PIERCE",MARIETTA LOUISE PIERCE JOHNSON," College, Mankato, 1896-1899. Moved to Alabama, 1902, and founded the School of Organic Education, Fairhope, 1907 director until 1",Fairhope,30.5229,-87.9033
"BEDDOW, MARY ELIZABETH RUSSELL",MARY ELIZABETH RUSSELL BEDDOW," Buren's School, Chattanooga. Lived in Birmingham. Died June 24, 1935.
",Birmingham,33.5186,-86.8104
"DAWSON, LEMUEL ORAH",LEMUEL ORAH DAWSON,"Church, Tuscaloosa, 1892-1924 taught at Howard College, 1924-1938 founded Edgewood Baptist Church, Birmingham, in 1926 and served ",Birmingham,33.5186,-86.8104
"FERRELL, CHILES CLIFTON",CHILES CLIFTON FERRELL," University professor, writer business executive. Born August 20, 1865, Greenville, S.C. Parents James Overton and Elizabeth Ann (",Greenville,31.8296,-86.6194
"OWEN, THOMAS McADORY",THOMAS McADORY OWEN,", 1887 A.M., 1893 LL.D., 1904 Practiced law in Bessemer, 1887-1894 city solicitor for Bessemer, 1890-1893 assistant solicitor for ",Bessemer,33.4018,-86.9544
"STREET, OLIVER DAY",OLIVER DAY STREET,". Admitted to the bar in 1888 practiced law in Guntersville and Birmingham US district attorney for northern Alabama, 1907-14 spec",Birmingham,33.5186,-86.8104
"BASHINSKY, ELIZABETH BURFORD",ELIZABETH BURFORD BASHINSKY," Institute at Columbia, Tenn. Taught at Troy State Normal School elementary school, 1888-1890. Member of the board of trustees of ",Columbia,31.2927,-85.1124
"ELLIOTT, IDA WALLIS",IDA WALLIS ELLIOTT,"ormal College, Lebanon, Ohio. Taught in city schools of Talladega. Founded Elliott Tours, a successful travel agency. Founded the ",Talladega,33.4359,-86.1
"ELLIOTT, JAMES WALTER",JAMES WALTER ELLIOTT,"st 25, 1949. Education Massey Business College in Birmingham St. Bernard College in Cullman. Served at radio station WSGN in Birmi",Birmingham,33.5186,-86.8104
"GREENE, FRANCES NIMMO",FRANCES NIMMO GREENE,"e Philadelphia Times, 1883-86 Taught in Birmingham and Montgomery principal of Capitol Hill School, Montgomery and of La Fayette P",Birmingham,33.5186,-86.8104
"LEE, LAWRENCE HAYWOOD",LAWRENCE HAYWOOD LEE,"state legislature, 1898-1899. Moved to Gadsden, 1901 served as city attorney, Gadsden, 1902-1903 reporter of the Supreme Court of ",Gadsden,34.0143,-86.0066
"McCORD, EDGAR OLIVER",EDGAR OLIVER McCORD,"nded the Marshall County News practiced law, Albertville, after 1893 twice mayor, Albertville. Died November 14, 1943.
",Albertville,34.2676,-86.2089
"THOMAS, WILLIAM HOLCOMBE",WILLIAM HOLCOMBE THOMAS,"cation:Emory University, A.B. Practiced law, 1888-1902 and 1910-1915 judge City Court of Montgomery, 1902-1910 justice Supreme Cou",Montgomery,32.3792,-86.3077
"WHITAKER, WALTER CLAIBORNE",WALTER CLAIBORNE WHITAKER,"versity of South, D.D., 1909. Taught at Barton Academy, Mobile, 1884-1888. Minister in Auburn, Montgomery and Tuscaloosa, Ala. Jac",Auburn,32.6099,-85.4808
"BROWN, WILLIAM GARROTT",WILLIAM GARROTT BROWN,"sity, A.B., 1891, A.M., 1892. Taught at Marion Military Institute, 1888-89. Assistant in the Harvard Library, 1893-1901 appointed ",Marion,32.6323,-87.3192
"CATHER, WILLIAM HARLOW",WILLIAM HARLOW CATHER,", 1868, Hillville, Va. family moved to Ashville, AL, about 1872. Parents:George Roberts and Harriet Hart (Heath) Cather. Married:M",Ashville,33.8401,-86.2647
"SMITH, ALGERNON LUNDY",ALGERNON LUNDY SMITH,":
Businessman. Born:Jan. 9, 1868, in Prattville, Ala. Parents:Benjamin F. and Sarah Holt Smith. Marrie",Prattville,32.464,-86.4597
"WILLIAMS, CHARLES BRAY",CHARLES BRAY WILLIAMS,"and Rockdale, TX Shiloh, N.C. Taught at Southwestern Baptist Theological Seminary, 1905-1919 served as dean of the seminary, 1913-",Shiloh,34.3679,-85.8877
"BILBRO, ANNE MATHILDE",ANNE MATHILDE BILBRO,", short stories, and a novel. Lived in New York and in the Southwest, returned to Alabama and lived in Gadsden taught at Birmingha",Gadsden,34.0143,-86.0066
"HARRIS, SEALE",SEALE HARRIS,"and the University of Vienna. Practiced medicine in Union Springs, 1894-1906 physician-in-charge, Mobile (City) Hospital, and prof",Mobile,30.6954,-88.0399
"CARLISLE, HORACE CALLAWAY",HORACE CALLAWAY CARLISLE,: Vera Harris. Children: two. Taught in Alabama schools principal of Center Point School aide in the US Capitol Architect's office,Center Point,33.6415,-86.6814
"STREET, THOMAS ADKINS",THOMAS ADKINS STREET,", LL.B. Admitted to bar, 1894 practiced in Nashville and taught at Vanderbilt University taught law at University of Missouri, 190",Ashville,33.8401,-86.2647
"DeFOREST, LEE",LEE DeFOREST,"a Margaret (Robbins) DeForeSt Moved to Talladega, Alabama, at the age of six, when his father became president of Talladega Colleg",Margaret,33.679,-86.4811
"HANDY, WILLIAM CHRISTOPHER",WILLIAM CHRISTOPHER HANDY, picture appeared in 1969 his home in Florence is maintained as a museum Florence holds an annual W.C.Handy Music Festival in his ,Florence,34.7998,-87.6773
"JOHNSTON, HARDEE",HARDEE JOHNSTON,"egiment, Spanish-American War Practiced medicine in Birmingham, 1899-1950. Died April 17, 1950.
",Birmingham,33.5186,-86.8104
"KENNAMER, JOHN ROBERT, SR.","JOHN ROBERT KENNAMER, SR."," years. Partner in mercantile business, seven years. Postmaster, Woodville, Al., 1903-1946. Served a term on local school board. F",Woodville,34.6248,-86.2744
"PAYNE, LEONIDAS WARREN, JR.","LEONIDAS WARREN PAYNE, JR.","of Pennsylvania, Ph.D., 1904. Taught at the Southwestern Alabama Agricultural School in Evergreen, 1894-1901 Jacksonville State No",Evergreen,31.4335,-86.9569
"SIMS, HENRY UPSON",HENRY UPSON SIMS,". Southwestern College, LL.D. Practiced law in Birmingham 1899-1933 and 1943-1953 chairman Central Committee Legal Advisory Board ",Birmingham,33.5186,-86.8104
"BECK, MAY RANDLETTE",MAY RANDLETTE BECK,":
Homemaker civic leader. Born June 7, 1874:Mobile. Parents:William Albert and Columbia Elizabeth (Mon",Columbia,31.2927,-85.1124
"HOLTZCLAW, WILLIAM HENRY",WILLIAM HENRY HOLTZCLAW,"for Afro-Americans in Alabama taught at the school at Snow Hill, Ala., 1898-1902. Founded a school on the Tuskegee model in Utica,",Tuskegee,32.4307,-85.7077
"JACKSON, GEORGE PULLEN",GEORGE PULLEN JACKSON,"gust 20, 1874, Monson, Maine (moved to Birmingham as a child). Parents:George Frederick and Ann Jane (Pullen) Jackson. Married:Ine",Birmingham,33.5186,-86.8104
"JOHNSTON, HEWITT",HEWITT JOHNSTON,"n local schools in the 1890's practiced medicine in Oakman and Bessemer, Ala. served in France in the US Army during World War I W",Bessemer,33.4018,-86.9544
"LINDSAY, MAUDE McKNIGHT",MAUDE McKNIGHT LINDSAY,a private kindergarten in her home. Taught at a private kindergarten in Tuscumbia for 2 years founded the Florence Free Kindergart,Florence,34.7998,-87.6773
"WALLACE, JOHN HENRY, JR.","JOHN HENRY WALLACE, JR."," to Alabama Bar, May 10, 1896 practiced in Huntsville member Alabama House of Representatives, 1898-1899, 1900-1901. Active in ado",Huntsville,34.7304,-86.5861
"HURTEL, CAROLINE GAILLARD",CAROLINE GAILLARD HURTEL,"lton School of Music, Boston. Taught piano in Mobile. Member of the Alabama Historical Association. Died January 20, 1965.
",Mobile,30.6954,-88.0399
"HARRIS, GARRARD",GARRARD HARRIS,"illsaps College, LL.B., 1902. Practiced law in Jackson, Miss., 1903-1911 special agent, US Department of Commerce to Latin America",Jackson,31.5087,-87.8944
"BLACKMON, ROSS",ROSS BLACKMON,"nd Sarah Ann (Ross) Blackmon. Resided at Choccolocco near Anniston. Married:Julia Virginia Miller, December 29, 1917. Children:Two",Anniston,33.6598,-85.8316
"CAYCE, EDGAR",EDGAR CAYCE,"c readings early in his life. Lived in Alabama 1912-1926 worked as a reporter for the Anniston Star, for Russell Brothers photogra",Anniston,33.6598,-85.8316
"McCORD, LEON CLARENCE",LEON CLARENCE McCORD,"r Jesse E. Brown, Scottsboro. Practiced law in Scottsboro, 1900-1903 secretary of the Supreme Court of Alabama, 1903-1909 private ",Scottsboro,34.6723,-86.0341
"BEALLE, ALFRED BATTLE",ALFRED BATTLE BEALLE,"ep and Eloise Johnson Bealle. Moved to Tuscaloosa when he was a child. Married:Annie Vernon Pollard, December 30, 1914. Children: ",Pollard,31.0271,-87.1736
"BUSCH, FRANCIS XAVIER",FRANCIS XAVIER BUSCH,"Association (president 1931). Moved to Wetumpka after his retirement. Died November 28, 1975.
",Wetumpka,32.5448,-86.2122
"CHESNUTT, SAMUEL LEE",SAMUEL LEE CHESNUTT,"e, 1900 Peabody College, M.S. Taught at Concord and Farragut, Tenn. Agriculture teacher at Alabama College in Montevallo for thirt",Eva,34.3248,-86.7558
"COLLINS, CHARLES WALLACE",CHARLES WALLACE COLLINS,"ed States Supreme Court, 1917 practiced law in Birmingham, 1901-1906. Librarian at the Haskell Oriental Museum, University of Chic",Birmingham,33.5186,-86.8104
"CORNELIUS, MARY CHILTON CHASE",MARY CHILTON CHASE CORNELIUS,"of Alabama for proficiency in Home Arts. Helped edit the Gammadion. In 1926 she was living in Birmingham. Died April 14, 1952.
",Birmingham,33.5186,-86.8104
"KNOX, ROSA BELLE",ROSA BELLE KNOX,"y, Ala. and in New York City. Taught 7 years at Mississippi State College. Her first book was on school activities, but she is bes",York,32.4868,-88.2961
"LANG, GEORGE",GEORGE LANG,ed Cross. A lifelong bachelor lived in the same room in the McLester Hotel for 31 years. Awarded honorary degrees by the Universit,Lester,34.9843,-87.1483
"WALKER, ANNE KENDRICK",ANNE KENDRICK WALKER," Birmingham Age-Herald. Later lived in New York City. Organizer of Humane Society, Birmingham. Member Nineteenth Century Art and W",Birmingham,33.5186,-86.8104
"BEASLEY, BUCKNER",BUCKNER BEASLEY,":
Business executive. Born:May 28, 1881, Auburn. Parents:James G. Beasley, Sr. and Martha Goodwin Beas",Auburn,32.6099,-85.4808
"LEFTWICH, NINA",NINA LEFTWICH,"ue and Gift Shop in Sheffield taught at Coffee High School, Florence Florence State Teachers College extension department of Howar",Florence,34.7998,-87.6773
"SEIBERT, CHARLES H.",CHARLES H. SEIBERT,"se (Huckemeir) Seibert family moved to Hanceville, Ala., in 1883. Married:Maude Elizabeth Schell on Dec. 29, 1912. Children:Five. ",Hanceville,34.0629,-86.7672
"FIES, MILTON HENRY",MILTON HENRY FIES,"
Engineer, businessman, consultant. Born August 31, 1882, Birmingham. Parents Jacob and Fannie (Kahm) Fies. Mar",Birmingham,33.5186,-86.8104
"MARSHALL, JAMES WILLIAMS",JAMES WILLIAMS MARSHALL,"Panama City superintendent of home missions, Mobile Presbytery, 1921-1929. Died May 29,1964.
",Mobile,30.6954,-88.0399
"CHAPMAN, ELIZABETH HUMES",ELIZABETH HUMES CHAPMAN,"rsity, M.A. in History, 1932. Taught history for fifty years, in Huntsville public schools and then at Graymont and Woodlawn in Bi",Huntsville,34.7304,-86.5861
"HAYNES, ELIZABETH ANN ROSS",ELIZABETH ANN ROSS HAYNES,"nagement, Adam Clayton Powell Home for the Aged, New York Brownell Commission to Study Conditions of Negroes in New York City Advi",Clay,33.7026,-86.5997
"STOLLENWERCK, FRANK, JR.","FRANK STOLLENWERCK, JR.","ted to the bar, October 1907. Practiced law in Montgomery Alabama state legislator, 1909-1910. Opened a saw mill in Montgomery in ",Montgomery,32.3792,-86.3077
"CLEERE, WILLIAM W.",WILLIAM W. CLEERE,"cal Corps during World War I. Practiced medicine in Franklin County for more than forty years. Died November 1969.
",Franklin,32.4557,-85.8028
"FRASIER, SCOTTIE McKENZIE",SCOTTIE McKENZIE FRASIER,"m, Columbia University, 1914. Taught in public schools in Talladega and Greenville and in Albertville Agricultural College. Appoin",Albertville,34.2676,-86.2089
"JEMISON, EDITH GRACE",EDITH GRACE JEMISON,":
Accountant, business manager, local historian. Born December 18, 1884, near Cheaha Creek in Talladega County. Pa",Talladega,33.4359,-86.1
"JONES, MOLLIE HOLLIFIELD",MOLLIE HOLLIFIELD JONES,"versity, 1915, 1920 and 1927. Taught Latin and French in high schools in Dothan, Gadsden, and Montgomery, and in Danville, Va., 19",Dothan,31.2232,-85.3905
"CURRIE, GEORGE WASHINGTON",GEORGE WASHINGTON CURRIE,"Hendrix College, Conway, Ark. taught at Birmingham-Southern College, 1920-1939 Millsaps College, 1939-1946 Louisiana College, 1946",Birmingham,33.5186,-86.8104
"DENSON, JOHN VERNON",JOHN VERNON DENSON,"ervice: US Army captain, WWI. Practiced law in LaFayette, 1908 in Opelika until 1940 president of Farmers National Bank. Member of",Fayette,33.6846,-87.8308
"MUDD, WILLIAM SWEARINGEN",WILLIAM SWEARINGEN MUDD,"8. Added to Alabama Bar, 1908 practiced law until 1913 President of Tuscaloosa News, Gadsden Times and the Rome (Ga.) News Tribune",Gadsden,34.0143,-86.0066
"PIM, WILLIAM PAUL",WILLIAM PAUL PIM," Pims Advertising Art Studio. Taught commercial art at Birmingham-Southern College, 1922-1931. Drew the syndicated features, Baby ",Birmingham,33.5186,-86.8104
"ANDERTON, HENRY LAFAYETTE",HENRY LAFAYETTE ANDERTON,"University, Bachelor of Laws. Practiced law in Birmingham after 1914. Served as a city judge in Birmingham special assistant to th",Birmingham,33.5186,-86.8104
"BLACK, HUGO LAFAYETTE",HUGO LAFAYETTE BLACK,"ama Law School, LL. B., 1906. Practiced law in Ashland, 1906-07 in Birmingham, 1907-1914 elected solicitor (prosecuting attorney) ",Ashland,33.2737,-85.8363
"MAYER, ARTHUR LOEB",ARTHUR LOEB MAYER,"B., Harvard University, 1907. Moved to New York on his graduation and took a job as a salesman with Goldwyn Pictures later employe",York,32.4868,-88.2961
"SCOTT, EVA CLYDE STOVALL",EVA CLYDE STOVALL SCOTT,"ute and Livingston University taught at Girard and Hopkinsville, Barbour Co. Member:United Daughters of the Confederacy, Daughters",Livingston,32.5848,-88.1872
"FRAZER, MELL ALEXANDER",MELL ALEXANDER FRAZER,"mitted to the Alabama Bar and practiced law in Mobile. Died November 9, 1956.
",Mobile,30.6954,-88.0399
"KELLY, MAUD McLURE",MAUD McLURE KELLY,"t Southern woman so admitted. Practiced law, Birmingham, 1908-1918 and 1924-1931 legal staff of the US Interior Dept., 1918-1924. ",Birmingham,33.5186,-86.8104
"THOMAS, MABEL CLARE RANDALL",MABEL CLARE RANDALL THOMAS,"r, Opelika News, Our Southern Home of Livingston, Alabama, and the Fort Worth Star Telegram storyteller and reviewer of children's",Livingston,32.5848,-88.1872
"COLLIER, EDWARD TARLETON",EDWARD TARLETON COLLIER,"e pen name ""Georgia O'Keefe."" Taught for two years at Auburn University lecturer in political science and public affairs at Emory ",Auburn,32.6099,-85.4808
"CRAVNER, MARIE ALDRICH",MARIE ALDRICH CRAVNER,"es Cravner, October 31, 1914. Lived in Pennsylvania, North Carolina, Alexander City and Tuscaloosa. Died August 5, 1967.
",Alexander City,32.944,-85.9539
"ERNST, MORRIS LEOPOLD",MORRIS LEOPOLD ERNST,"w York Bar, 1913. Founded and practiced law with firm Greenbaum, Wolff, and Ernst, 1915-1976, specializing in labor, tax, libel, a",York,32.4868,-88.2961
"GATCHELL, DANA KING",DANA KING GATCHELL,":
Home economist University professor. Born: November 20, 1888, Snowden raised in Selma. Parents: Edwa",Selma,32.4074,-87.0211
"LAZARUS, SIDNEY P.",SIDNEY P. LAZARUS,"trator. Born:Shelbyville, Ky. moved to Birmingham as a child. Parents:Lew and Hannah Schwab Lazarus. Married:Maude Lazarus. Educat",Birmingham,33.5186,-86.8104
"WOOD, CLEMENT RICHARDSON",CLEMENT RICHARDSON WOOD,local political establishment moved to New York City. Worked at various jobs to support himself and his writing. Waited on tables ,York,32.4868,-88.2961
"CAMPBELL, DAVIS WRIGHT, SR.","DAVIS WRIGHT CAMPBELL, SR.","r University attended Eastman Business College in Poughkeepsie, New York. Manager of the Chattahoochee Grocery Company of Columbia",Columbia,31.2927,-85.1124
"GAITHER, FRANCES ORMOND JONES",FRANCES ORMOND JONES GAITHER,Taught briefly in Corinth and lived in Mobile and Fairhope after her marriage moved to New York City in 1929 and worked as a free ,Fairhope,30.5229,-87.9033
"ABERNETHY, THOMAS PERKINS",THOMAS PERKINS ABERNETHY,"ervice, US Army, World War I. Taught at Marion Institute, 1912-1914 and 1919 Women's College of Alabama, 1916-1917 Vanderbilt Univ",Marion,32.6323,-87.3192
