Last_First,First_Last,info,location,latitude,longitude
"TAYLOR, HANNIS",HANNIS TAYLOR," University of North Carolina studied law in Mobile with firm of Anderson and Bond admitted to bar, 1869 practiced before Alabama ",,,
"CRAIGHEAD, ERWIN",ERWIN CRAIGHEAD," B.Litt., 1872. Travelled and studied in Europe, 1872-77. Admitted to the Tennessee bar, 1876. Worked as an editor for New Orleans",,,
"CRUIKSHANK, GEORGE MARCUS",GEORGE MARCUS CRUIKSHANK,"ctober 7, 1887. Children:Two. Education:Peabody Institute, Talladega Southwood Academy, and Synodical College, B.A.. Taught at Tal",,,
"FRY, ANNA MARIA GAYLE",ANNA MARIA GAYLE FRY,"ph Talbot Fry, April 9, 1890. Education Tutored at home.  Lived in Galveston, Texas, and then in Selma with her husband.  Died Jan",,,
"STONE, PATTIE WRIGHT",PATTIE WRIGHT STONE,"ne on Dec. 3, 1874. Education:studied under governesses and at female seminary in Cave Springs, Ga. 
",,,
"BRAGG, SHIRLEY",SHIRLEY BRAGG,"bruary 7, 1878. Children:One. Education:Spring Hill College St Louis University, A.B., 1872 Alabama Medical College, M.D., 1875. A",,,
"LAY, WILLIAM PATRICK",WILLIAM PATRICK LAY,"pril 26, 1876. Children:Five. Education:Public schools. Worked as a riverboat pilot and then in the engine department of a railroa",,,
"ROLAND, ALICE KATE CASH",ALICE KATE CASH ROLAND,"_____ Roland. Children:Three. Education:Governess public schools of Logan County private girls school in Russell, Ky. Died Februar",,,
"GORGAS, WILLIAM CRAWFORD",WILLIAM CRAWFORD GORGAS,"ember 15, 1885. Children:One. Education: B.S., University of the South, 1875 Bellevue Medical College, 1879. Appointed surgeon in ",,,
"BEAUCHAMP, GEORGE ALLAN",GEORGE ALLAN BEAUCHAMP,"ary 15, 1903. Children:Three. Education:City schools of Eufaula. Entered the drug business as a clerk in 1871 became a proprietor ",,,
"BROWN, ANNIE FINLEY GREENE",ANNIE FINLEY GREENE BROWN," July 10, 1883. Children:two. Education:At home by her mother Tuscaloosa Female Academy, earning the M.A. degree. Taught in the pu",,,
"HALL, JAMES HUGH BLAIR",JAMES HUGH BLAIR HALL,"g and Alazannah (Blair) Hall. Education:Hiwassee College, 1869-1872 Loudon High School, 1872-1876 Cumberland Presbyterian Universi",,,
"TAYLOR, JOSEPH JUDSON",JOSEPH JUDSON TAYLOR," Married:Anna Hinton in 1882. Education:University of Richmond, B.A. , A.M. attended Southern Baptist Theological Seminary ordaine",,,
"CHILTON, CLAUDIUS LYSIAS",CLAUDIUS LYSIAS CHILTON,"ember 3, 1878. Children:Nine. Education: left school at the age of fifteen after the death of his father. After studying for the m",,,
"HARRISON, BELLE RICHARDSON",BELLE RICHARDSON HARRISON,"houn Harrison, July 12, 1881. Education:Stafford School, Tuscaloosa Female Academy. Lived in Tuscaloosa, where her husband owned a",,,
"LITTLETON, JESSE TALBOT",JESSE TALBOT LITTLETON,"ber 26, 1882. Children:Eight. Education:Randolph-Macon College, A.M., 1880 attended Sauveur Colleges des Langues, Amherst, Mass., ",,,
"WILKINS, BENJAMIN HARRISON, SR.","BENJAMIN HARRISON WILKINS, SR.","860-1870 moved to Selma, Ala. Education:private tutors and Richmond schools. Married:Mattie Kent. Children:One. Married:Janie B. W",,,
"DICKINSON, CHARLES HENRY",CHARLES HENRY DICKINSON,"nuary 20, 1886. Children:Two. Education:Amherst College, B.A., 1881 Yale Divinity School, B.D., 1884 graduate work at Yale, 1884-1",,,
"GRAYSON, CLAUDE COLUMBUS",CLAUDE COLUMBUS GRAYSON,"ebruary 12, 1889. Children:5. Education:Dallas Academy. Published columns of reminiscences in the Selma Times-Journal. Died Novemb",,,
"MANLY, LOUISE",LOUISE MANLY, Charlotte (Whitfield) Manly. Education:United States and abroad. Employed as teacher in various parts of the South. Died January ,,,
"RUFFIN, MARGARET ELLEN HENRY",MARGARET ELLEN HENRY RUFFIN,"April 20, 1887. Children:Six. Education:Immaculate Conception School and Visitation Convent in Mobile, graduated from St Joseph's ",,,
"WYATT, RUFUS R.",RUFUS R. WYATT," Lee Doss, November 24, 1897. Education:attended local schools at Union Chapel and Pine Grove, AL.Read on his own while he worked ",,,
"CRAIGHEAD, LURA HARRIS",LURA HARRIS CRAIGHEAD,"er 12, 1878. 1878. One child. Education:Mary Sharpe College, Winchester, Tennessee graduate of Patapsco Institute, Baltimore. Move",,,
"DE COTTES, NINA BROWNE",NINA BROWNE DE COTTES," de Cottes, February 8, 1877. Education:Attended Ursuline Convent in Tuscaloosa graduated from Saybrook Hall, Montreal, Canada. Fi",,,
"DuBOSE, HORACE MELLARD",HORACE MELLARD DuBOSE,"ghn Amis, 1899. Children:Six. Education:Attended Waynesboro Academy in Mississippi also taught by languages and classics tutors. L",,,
"WYLIE, LAURA ISABELLE",LAURA ISABELLE WYLIE,NOT FOUND,,,
"BEVERLY, JOHN WILLIAM",JOHN WILLIAM BEVERLY,"Mattie E. Dale. Children:Six. Education:Lincoln Normal School, B.S., 1882 Brown University, Ph.D., 1894. Principal of Tullibody Ac",,,
"CLARK, GEORGE HUNTINGTON",GEORGE HUNTINGTON CLARK,osalie Heustis. Children:Two. Education:Yale University. Worked for the New York and Lackawanna Railroad and for several other rai,,,
"CLINTON, THOMAS PATRICK",THOMAS PATRICK CLINTON,NOT FOUND,,,
"CORY, MARIELOU ARMSTRONG",MARIELOU ARMSTRONG CORY,"mber 26, 1890. Children:Four. Education:Mansfield Female College in Louisiana, M.A. Taught music in Birmingham and music and art i",,,
"McKINNEY, KATE SLAUGHTER",KATE SLAUGHTER McKINNEY,"endent of the L & N Railroad. Education:Daughters' College, a private girls' school in Harrodsburg, Kentucky. Began writing poems ",,,
"MIXON, WINFIELD HENRY",WINFIELD HENRY MIXON,"hild. Married Marie W. Mixon. Education:tutors Selma University. Licensed to preach, 1876 employed as a clergyman, African Methodi",,,
"MULLINS, ISLA MAY",ISLA MAY MULLINS,", June 2, 1886. Children:Two. Education:private tutor Judson College. Husband was the fourth president of Southern Baptist Theolog",,,
"ROBERT, KATE AYERS",KATE AYERS ROBERT,"es Robert, November 24, 1879. Education:Cathedral Parish in Mobile Springfield, Massachusetts, Home Correspondence School, 1919. T",,,
"STAKELY, CHARLES AVERETT",CHARLES AVERETT STAKELY,"gomery, Ala. with his family. Education:Mercer University, M.A. admitted to bar at age 18 in Georgia ordained to Baptist ministry ",,,
"COBBS, ALEATHEA THOMPSON",ALEATHEA THOMPSON COBBS,NOT FOUND,,,
"CRANE, MARY POWELL",MARY POWELL CRANE,"d in Europe for several years studied music and languages with tutors in Paris, Dresden. Returned to the US and lived in the North",,,
"GIELOW, MARTHA SAWYER",MARTHA SAWYER GIELOW,"Writer, lecturer advocate for education. Born:1860, Greensboro. Parents:Captain Enoch and Sophie E. (Barkley) Sawyer. Married:Henr",,,
"LYON, ANNE BOZEMAN",ANNE BOZEMAN LYON,New Orleans Locquet Institute studied in Mobile under Professor Amos Towle. Wrote verse for the Louisville Courier-Journal and oth,,,
"PETRIE, GEORGE",GEORGE PETRIE,"ugust 30, 1893. Children:One. Education:University of Virginia, M.S., 1887 Johns Hopkins University, Ph.D, 1891. Taught at Alabama",,,
"CRAIG, COLA AMANDA BARR",COLA AMANDA BARR CRAIG,"jamin H. Craig. Children:Two. Education:Fair Lawn Institute, Jackson, Mississippi, 1879. Member Ossian Club, a literary organizati",,,
"DOBYNS, WILLIAM RAY",WILLIAM RAY DOBYNS,"Buckland, 1889. Children:Two. Education:Westminster College (Missouri) McCormick Theological Seminary, B. D., 1889. Ordained a Pre",,,
"HILL, ISAAC WILLIAM",ISAAC WILLIAM HILL,", June 18, 1890. Children: 3. Education:Emory College, A.B., 1880, A.M., 1883. Teacher, Whitesville, Ga., 1881-1883 Easonville, Al",,,
"SKAGGS, WILLIAM H.",WILLIAM H. SKAGGS,NOT FOUND,,,
"VAUGHAN, SUSAN KIRKMAN",SUSAN KIRKMAN VAUGHAN,"cember 6, 1892. Children:One. Education:O'Bryan School, Nashville, Tenn Florence Synodical Female College University of Chicago, P",,,
"WILLIAMS, ANNIE LAURIE",ANNIE LAURIE WILLIAMS,"13, 1861, in Montgomery, Ala. Education:private schools. First elementary worker, Baptist Sunday School Board. Author of first boo",,,
"ADAMS, EMILY CAMPBELL",EMILY CAMPBELL ADAMS,NOT FOUND,,,
"BATTLE, HERBERT BEMERTON",HERBERT BEMERTON BATTLE,"ember 25, 1885. Children:Two. Education:University of North Carolina, B.S., 1881, Ph.D., 1887. Professor of chemistry at Leonard M",,,
"CHAMBERS, WALLACE JEROME",WALLACE JEROME CHAMBERS,"ation:Attended Beloit College studied with the leading photographers in Chicago, Detroit and Cleveland. Operated a photographic st",,,
"DAVIS, NORAH KNOWLES",NORAH KNOWLES DAVIS,"nd Williametta (Eason) Davis. Education:Private tutors. Taught in public schools in Alabama, Florida, Mississippi, Tennessee, and ",,,
"KIRK, DOLLY WILLIAMS",DOLLY WILLIAMS KIRK,"n and Julia Anne (Owen) Kirk. Education: Girls' Central High School, New Orleans Sophie Newcomb College Chautauqua, New York Unive",,,
"UNDERWOOD, OSCAR WILDER",OSCAR WILDER UNDERWOOD,"arried:Bertha Woodward, 1904. Education:Rugby School, Louisville, Ky. (graduated 1879) University of Virginia. Admitted to the bar",,,
"BRYAN, JAMES ALEXANDER",JAMES ALEXANDER BRYAN," Howze, 1891. Children:seven. Education:University of North Carolina, B.A., 1885 Princeton Theological Seminary, B. D., 1889. Taug",,,
"BUTTS, CHARLES",CHARLES BUTTS,"s Pearson, November 30, 1909. Education: Alfred University, B.S., 1899 M.S., 1900. Employed by the United States Geological Survey",,,
"CULLENS, FREDERIC BACON",FREDERIC BACON CULLENS,"ember 17, 1891. Children:Six. Education:Tulane University, 1895-1896 Memphis Hospital Medical College, 1896-1897 and 1899. License",,,
"FARRAH, ALBERT JOHN",ALBERT JOHN FARRAH,"ugust 28, 1888. Children One. Education University of Michigan, LL.B., 1896 Cornell College, A.M., 1906. Served as superintendent ",,,
"FOSTER, AGNESS GREENE",AGNESS GREENE FOSTER,"ence Foster, August 31, 1886. Education Trinity College, Dublin, Ireland Mademoiselle Piquots Finishing School, Blois, France Coll",,,
"KENNY, MICHAEL S.",MICHAEL S. KENNY," and Kathleen (Maders) Kenny. Education:Crescent and Mungret College, Limerick Royal Irish University Divinity Schools of Dublin a",,,
"LUSK, LEILA FEARN",LEILA FEARN LUSK,"lexander Lusk. Children:Five. Education:Huntsville Female Institute, Holly Springs (Mississippi) Institute. Served as president of",,,
"OUSLEY, CLARENCE",CLARENCE OUSLEY,"vember 8, 1888. Children:Two. Education:Alabama A & M College (Auburn), A.B., 1881 Simmons College, honorary A.M., 1906. Taught sc",,,
"RIVES, AMELIE LOUISE",AMELIE LOUISE RIVES,NOT FOUND,,,
"SMITH, CHARLES P.",CHARLES P. SMITH,"Holly , 1887. Children:Three. Education:Graduate, Chattanooga High School about 1880. Worked as a salesman for Vance and Kirby Har",,,
"BROCK, GEORGE WILLIAM",GEORGE WILLIAM BROCK,"ersity of Alabama, A.B., 1900 studied at the University of the South. Teacher and principal at several Alabama public schools, 188",,,
"CARVER, GEORGE WASHINGTON",GEORGE WASHINGTON CARVER," his former home in Missouri. Education:Iowa State University of Agricultural and Mechanical Arts, B.S. degree in agriculture, 189",,,
"DANGAIX, WILLIAM JOSEPH",WILLIAM JOSEPH DANGAIX," and Mary (Lasserre) Dangaix. Education Institute d'Etudes francaises de Touraine, Tours, France Sorbonne, Paris. General agent, S",,,
"JOHNSON, MARIETTA LOUISE PIERCE",MARIETTA LOUISE PIERCE JOHNSON,"er pioneer of the progressive education movement. Born: October 8, 1864, St Paul, Minn. Parents:Clarence D. and Rhoda Matilda (Mor",,,
"PENNY, KATE MAYHEW SPEAKE",KATE MAYHEW SPEAKE PENNY,es Edwin Penny. Children:Two. Education:Huntsville Female Seminary. One of the organizers of the Birmingham Chapter of League of A,,,
"YERBY, WILLIAM EDWARD WADSWORTH",WILLIAM EDWARD WADSWORTH YERBY,"uthern University, Greensboro studied printing, law. Published Greensboro Watchman, 1886- president, Alabama Press Association 190",,,
"BEDDOW, MARY ELIZABETH RUSSELL",MARY ELIZABETH RUSSELL BEDDOW,"mber 6, 1881. Children:Seven. Education: attended Professor van Buren's School, Chattanooga. Lived in Birmingham. Died June 24, 19",,,
"COCKE, SARAH COBB JOHNSON",SARAH COBB JOHNSON COCKE,"arried:Lucian H. Cocke, 1903. Education:Lucy Cobb Institute, a girls' preparatory school in Athens, Georgia. Wrote sketches and ar",,,
"DAWSON, LEMUEL ORAH",LEMUEL ORAH DAWSON,"al Seminary, (graduated 1889) studied at Columbian University (became George Washington University in 1904), the University of Ala",,,
"FERRELL, CHILES CLIFTON",CHILES CLIFTON FERRELL,"August 16, 1899. Childrentwo. Education Vanderbilt University, A.B., 1885 M.A., 1886 University of Leipzig, Ph.D., 1892 further st",,,
"MANLY, JOHN MATTHEWS",JOHN MATTHEWS MANLY,"es and Mary (Matthews) Manly. Education:Furman University, 1883 A.M., 1889 Harvard University, Ph. D., 1900. Military intelligence",,,
"WORK, MONROE NATHAN",MONROE NATHAN WORK," Florence Evelyn Hendrickson. Education Chicago Theological Seminary, Ph.B., 1902 University of Chicago, A.M., 1903. Worked at Geo",,,
"BASHINSKY, ELIZABETH BURFORD",ELIZABETH BURFORD BASHINSKY,":
Civic leader advocate for education teacher. Born: August 22,1867, Dixon's Spring, Tenn. Parents:Robert Allen and Mary Elizabe",,,
"BOLES, WILLIAM J.",WILLIAM J. BOLES," Boles. Married:Helen Nelson. Education:Attended a one room school. In 1887, lived over a print shop in Decatur when the owner wan",,,
"ELLIOTT, IDA WALLIS",IDA WALLIS ELLIOTT,"une 27, 1888. Children Three. Education Presbyterian College in Talladega Normal College, Lebanon, Ohio. Taught in city schools of",,,
"ELLIOTT, JAMES WALTER",JAMES WALTER ELLIOTT,"Rose Knight, August 25, 1949. Education Massey Business College in Birmingham St. Bernard College in Cullman. Served at radio stat",,,
"McCORD, EDGAR OLIVER",EDGAR OLIVER McCORD,"ena B. Hudson. Children:Five. Education:North Georgia Agricultural College. Admitted to the bar, 1889. Taught in Marshall County, ",,,
"MOTON, ROBERT RUSSA",ROBERT RUSSA MOTON," July 1, 1908. Children:Five. Education:Taught by mother attended free school for Negroes Hampton Institute, 1885-1891. Commandant",,,
"THOMAS, WILLIAM HOLCOMBE",WILLIAM HOLCOMBE THOMAS,", June 4, 1891. Children:One. Education:Emory University, A.B. Practiced law, 1888-1902 and 1910-1915 judge City Court of Montgome",,,
"VINES, WILLIAM MADISON",WILLIAM MADISON VINES,"vy Henderson, April 30, 1902. Education:Central Normal College, Danville, Ind., 1893 Louisville Theological Seminary, 1894-1895 Un",,,
"CATHER, WILLIAM HARLOW",WILLIAM HARLOW CATHER,NOT FOUND,,,
"CROSSFIELD, RICHARD HENRY",RICHARD HENRY CROSSFIELD,"bruary 5, 1895. Children:Two. Education:Kentucky University (now Transylvania College), A.B., 1889 College of the Bible, Lexington",,,
"CONNELL, LUTHER ALLEN",LUTHER ALLEN CONNELL,"ember 20, 1890. Children:Ten. Education:Ordained a minister in Baptist Church in 1898 attended the Southern Baptist Theological Se",,,
"DAVIDSON, HENRY DAMON",HENRY DAMON DAVIDSON,"McClellan, September 4, 1913. Education:high school classes at Selma University, graduated from Payne University, Selma, 1893 B. S",,,
"HUDDLESTON, GEORGE",GEORGE HUDDLESTON,"mber 29, 1917. Children:Five. Education:Cumberland University, L.L.B., 1891. Practiced law in Birmingham, 1891-1913 served as priv",,,
"MURPHY, EDGAR GARDNER",EDGAR GARDNER MURPHY,"ugust 31, 1891. Children:Two. Education:University of the South General Theological Seminary and Columbia University. Ordained a d",,,
"OWEN, MARIE BANKHEAD",MARIE BANKHEAD OWEN,Thomas M. Owen. Children:Two. Education:public and private schools in Alabama Ward's Seminary in Nashville. Served on the fiction ,,,
"RUTH, WILLIAM HARDWICK",WILLIAM HARDWICK RUTH,"d:Maude Crook. Children:Four. Education:University of the South Parsons's School of Horology two optician schools, New York. Jewel",,,
"WILLIAMS, CHARLES BRAY",CHARLES BRAY WILLIAMS,"ugust 26, 1934. Children:One. Education:Wake Forest College, A.B., 1891 Crozier Seminary, B.D., 1901 University of Chicago, A.M., ",,,
"BARTON, LEVI ELDER",LEVI ELDER BARTON,"le Hurt, 1899. Children:Four. Education:Union University in Jackson, Tenn., A.M., 1898 D.D., 1911 attended Southern Baptist Theolo",,,
"BILBRO, ANNE MATHILDE",ANNE MATHILDE BILBRO,ama Conference Female College studied music under private tutors. Early in her life she composed two sets of piano pieces for chil,,,
"CRANE, WALTER RICHARD",WALTER RICHARD CRANE,"ber 28, 1898. Children:Three. Education:University of Kansas, A.B., 1895 A.M., 1896 Columbia University, Ph.D. 1901. Engineer and ",,,
"EASBY-SMITH, JAMES STANISLAUS",JAMES STANISLAUS EASBY-SMITH,"lian L. Strong, June 5, 1894. Education:Georgetown College (Washington) A.B. A.M., 1892 LL.B. LL.M., 1894. Served in the JAG depar",,,
"HARRIS, SEALE",SEALE HARRIS,"April 28, 1897. Children:two. Education:University of Georgia University of Virginia, M.D., 1894 New York Polytechnic, University ",,,
"SAFFOLD, MILDRED REYNOLDS",MILDRED REYNOLDS SAFFOLD,NOT FOUND,,,
"CARLISLE, HORACE CALLAWAY",HORACE CALLAWAY CARLISLE,NOT FOUND,,,
"DUGGAR, BENJAMIN MINGE",BENJAMIN MINGE DUGGAR,"rnell University, Ph.S., 1898 studied in botanical laboratories in Germany and France, 1905-1906. Served as assistant director of ",,,
"HORNADY, JOHN RANDOLPH, JR.","JOHN RANDOLPH HORNADY, JR.","ber 28, 1896. Children:Three. Education:Educated by his mother until her death when he was ten years old. Worked for the Birmingha",,,
"HOWELL, ARTHUR HOLMES",ARTHUR HOLMES HOWELL,"une 20, 1900. Children:Three. Education:Public schools in Brooklyn, New York. Worked as a clerk and secretary, 1889-1895. Hired as",,,
"LINCOLN, RIXFORD JOSEPH",RIXFORD JOSEPH LINCOLN,"d Adrienne (Helluin) Lincoln. Education:Jesuit College (New Orleans), B.A., 1889, M.A., 1890 Tulane University, law degree, 1899. ",,,
"McILHENNY, EDWARD AVERY",EDWARD AVERY McILHENNY,"Mary Eliza (Avery) McIlhenny. Education:Wyman's Institute (Ill.), 1885-1887 Holland School (N.Y.), 1887-1890 Lehigh University, 18",,,
"MERTINS, GUSTAVE FREDERICK",GUSTAVE FREDERICK MERTINS,"erland Kolmar, Posen, Germany studied law, Washington and Lee University. Employed as an attorney, Montgomery, Ala., 1893 special ",,,
"WEIL, ADELE KAHN",ADELE KAHN WEIL,"ember 22, 1898. Children:Two. Education:Schools in Montgomery Bartholomew's Private School, Cincinnati. Member:Sidney Lanier Schoo",,,
"BLAIR, ALGERNON",ALGERNON BLAIR,"uly 14, 1908. Children:Three. Education:Macon, Ga. high school, graduated 1888. Contractor in Montgomery in charge of many governm",,,
"CHAPMAN, KATHARINE HOPKINS",KATHARINE HOPKINS CHAPMAN,"tober 8, 1891. Children: two. Education:Shorter College, Rome, Ga., 1887 and Lake Chautauqua, 1904. Member Daughters of the Americ",,,
