Last_First,First_Last,info,location,latitude,longitude
"PARK, ROBERT EMORY",ROBERT EMORY PARK,"pal of La Grange High School. Moved to Macon, Georgia, in 1872, and worked as agent for a publishing firm elected Georgia State Tr",,,
"BREWER, THADDEUS CONSTANTINE WILLIS",THADDEUS CONSTANTINE WILLIS BREWER,NOT FOUND,,,
"DAVIS, MARY EVELINA MOORE",MARY EVELINA MOORE DAVIS,"October 20, 1874. Educated at home by her mother and intermittently at local schools in Alabama and Texas, where her family moved ",,,
"DUFFEE, MARY GORDON",MARY GORDON DUFFEE,NOT FOUND,,,
"HOUGHTON, MITCHELL BENNETT",MITCHELL BENNETT HOUGHTON,":
Businessman. Born:September 14, 1844, Heard County, Ga. Parents:William Henry and Eliza Ann (Bennett",,,
"MAXWELL, JAMES ROBERT",JAMES ROBERT MAXWELL,NOT FOUND,,,
"HANNON, JOHN",JOHN HANNON,NOT FOUND,,,
"WYETH, JOHN ALLEN",JOHN ALLEN WYETH,NOT FOUND,,,
"BRIDGMAN, FREDERICK ARTHUR",FREDERICK ARTHUR BRIDGMAN,NOT FOUND,,,
"FOSTER, LOVELACE SAVIDGE",LOVELACE SAVIDGE FOSTER,NOT FOUND,,,
"WEEDEN, MARIA HOWARD",MARIA HOWARD WEEDEN,NOT FOUND,,,
"COUNCILL, WILLIAM HOOPER",WILLIAM HOOPER COUNCILL," Alabama bar, 1883 (but neber practiced law). Began teaching in 1867 served as principal of Hunstville Colored School as chief enr",,,
"HAMILL, HOWARD MELANCTHON",HOWARD MELANCTHON HAMILL,NOT FOUND,,,
"MELL, ANNIE REBECCA WHITE",ANNIE REBECCA WHITE MELL,NOT FOUND,,,
"RILEY, BENJAMIN FRANKLIN",BENJAMIN FRANKLIN RILEY," of Howard College, 1888-1898 taught at the University of Georgia, 1893-1900 pastored a church in Houston, TX, 1900-1906 Superinte",,,
"COMINGS, LYDIA JANE NEWCOMB",LYDIA JANE NEWCOMB COMINGS," Seminary in Kalamazoo, Mich. Taught at the Ravenswood (Chicago) Public School, 1876-1885 taught at the Moravian Seminary, Bethleh",,,
"HUNNICUTT, JOHN LETCHER",JOHN LETCHER HUNNICUTT," in Pickens and Hale counties.Lived in Belton, Texas, for many yearsemployed by International Harvester and other companies as boo",,,
"MILLER, LAWRENCE DEAN",LAWRENCE DEAN MILLER,NOT FOUND,,,
"BECKWITH, CHARLES MINNIEGRODE",CHARLES MINNIEGRODE BECKWITH,NOT FOUND,,,
"McCORVEY, THOMAS CHALMERS",THOMAS CHALMERS McCORVEY,NOT FOUND,,,
"MOODY, ROBERT NEILL",ROBERT NEILL MOODY,NOT FOUND,,,
"TAYLOR, HANNIS",HANNIS TAYLOR,"nd Bond admitted to bar, 1869 practiced before Alabama Supreme Court (1872) and US Supreme Court (1885). First position was as sol",,,
"CRAIGHEAD, ERWIN",ERWIN CRAIGHEAD,NOT FOUND,,,
"STONE, PATTIE WRIGHT",PATTIE WRIGHT STONE,NOT FOUND,,,
"PHILLIPS, JOHN HERBERT",JOHN HERBERT PHILLIPS,NOT FOUND,,,
"ROLAND, ALICE KATE CASH",ALICE KATE CASH ROLAND,NOT FOUND,,,
"GORGAS, WILLIAM CRAWFORD",WILLIAM CRAWFORD GORGAS,NOT FOUND,,,
"DuBOSE, JOEL CAMPBELL",JOEL CAMPBELL DuBOSE,NOT FOUND,,,
"TAYLOR, JOSEPH JUDSON",JOSEPH JUDSON TAYLOR,"y.), 1903-1907 vice president Home Mission Board of Southern Baptist Convention, 1884-1887. Awarded several honorary D.D. degrees.",,,
"BRUCE, WILLIAM HERSCHEL",WILLIAM HERSCHEL BRUCE,NOT FOUND,,,
"CHILTON, CLAUDIUS LYSIAS",CLAUDIUS LYSIAS CHILTON,NOT FOUND,,,
"CHRISTENBERRY, DANIEL PINKNEY",DANIEL PINKNEY CHRISTENBERRY,NOT FOUND,,,
"LITTLETON, JESSE TALBOT",JESSE TALBOT LITTLETON,NOT FOUND,,,
"DICKINSON, CHARLES HENRY",CHARLES HENRY DICKINSON,NOT FOUND,,,
"HALE, PHILIP THOMAS",PHILIP THOMAS HALE,NOT FOUND,,,
"MANLY, LOUISE",LOUISE MANLY,NOT FOUND,,,
"RUFFIN, MARGARET ELLEN HENRY",MARGARET ELLEN HENRY RUFFIN,NOT FOUND,,,
"CRAIGHEAD, LURA HARRIS",LURA HARRIS CRAIGHEAD,f the Board of the Benevolent Home for the Aged. Vice president of the Board for the Alabama Boys Industrial School. Member of wom,,,
"DE COTTES, NINA BROWNE",NINA BROWNE DE COTTES,NOT FOUND,,,
"DuBOSE, HORACE MELLARD",HORACE MELLARD DuBOSE,"o Academy in Mississippi also taught by languages and classics tutors. Licensed to preach in the Methodist Episcopal Church, 1876 ",,,
"WYLIE, LAURA ISABELLE",LAURA ISABELLE WYLIE,NOT FOUND,,,
"CLINTON, THOMAS PATRICK",THOMAS PATRICK CLINTON,NOT FOUND,,,
"MIXON, WINFIELD HENRY",WINFIELD HENRY MIXON,NOT FOUND,,,
"MULLINS, ISLA MAY",ISLA MAY MULLINS,NOT FOUND,,,
"ROBERT, KATE AYERS",KATE AYERS ROBERT,"e Springfield, Massachusetts, Home Correspondence School, 1919. Taught at Mrs. C. Mullekin School, 1892. Member, later president, ",,,
"GIELOW, MARTHA SAWYER",MARTHA SAWYER GIELOW,NOT FOUND,,,
"LYON, ANNE BOZEMAN",ANNE BOZEMAN LYON,NOT FOUND,,,
"PALMER, THOMAS WAVERLY",THOMAS WAVERLY PALMER," to include teacher training, home economics, and social work under his leadership the school awarded its first degree (1922) and ",,,
"PETRIE, GEORGE",GEORGE PETRIE,"pkins University, Ph.D, 1891. Taught at Alabama Polytechnic Institute dean of the Graduate School. Member of the Alabama Hall of F",,,
"SIBERT, WILLIAM LUTHER",WILLIAM LUTHER SIBERT,NOT FOUND,,,
"BULLARD, ROBERT LEE",ROBERT LEE BULLARD,NOT FOUND,,,
"CRAIG, COLA AMANDA BARR",COLA AMANDA BARR CRAIG,NOT FOUND,,,
"DOBYNS, WILLIAM RAY",WILLIAM RAY DOBYNS,NOT FOUND,,,
"HILL, ISAAC WILLIAM",ISAAC WILLIAM HILL,NOT FOUND,,,
"LITTLE, JOHN BUCKNER",JOHN BUCKNER LITTLE,NOT FOUND,,,
"MAYFIELD, JAMES JEFFERSON",JAMES JEFFERSON MAYFIELD,NOT FOUND,,,
"SKAGGS, WILLIAM H.",WILLIAM H. SKAGGS,NOT FOUND,,,
"WILLIAMS, ANNIE LAURIE",ANNIE LAURIE WILLIAMS,NOT FOUND,,,
"ADAMS, EMILY CAMPBELL",EMILY CAMPBELL ADAMS,NOT FOUND,,,
"BATTLE, HERBERT BEMERTON",HERBERT BEMERTON BATTLE,NOT FOUND,,,
"CHAMBERS, WALLACE JEROME",WALLACE JEROME CHAMBERS,NOT FOUND,,,
"UNDERWOOD, OSCAR WILDER",OSCAR WILDER UNDERWOOD,NOT FOUND,,,
"BOMAR, PAUL VERNON",PAUL VERNON BOMAR,NOT FOUND,,,
"BUTTS, CHARLES",CHARLES BUTTS,NOT FOUND,,,
"CULLENS, FREDERIC BACON",FREDERIC BACON CULLENS,NOT FOUND,,,
"FARRAH, ALBERT JOHN",ALBERT JOHN FARRAH,"935). Farrah Hall, the former home of the law school at the University of Alabama, was named in his honor. Died June 29, 1944.
",,,
"FOSTER, AGNESS GREENE",AGNESS GREENE FOSTER,NOT FOUND,,,
"LUSK, LEILA FEARN",LEILA FEARN LUSK,NOT FOUND,,,
"OUSLEY, CLARENCE",CLARENCE OUSLEY,"College, honorary A.M., 1906. Taught school in Texas. Served as editorial writer and managing editor of the Galveston News, Galves",,,
"SAMPEY, JOHN RICHARD",JOHN RICHARD SAMPEY,"ed a Baptist clergyman, 1885. Taught at Southern Baptist Theological Seminary 1885-1943, librarian 1889-1929, and president 1929-1",,,
"SHACKELFORD, EDWARD MADISON",EDWARD MADISON SHACKELFORD,NOT FOUND,,,
"SMITH, CHARLES P.",CHARLES P. SMITH,":
Businessman, public official. Born:May 20, 1863, in Sulphur Springs, Ga. Married:Minnie Holly , 1887",,,
"SPRATLING, WILLIAM PHILIP",WILLIAM PHILIP SPRATLING,olytechnic Institute and Moos Business College (Atlanta) attended medical school at Vanderbilt University College of Physicians an,,,
"CARVER, GEORGE WASHINGTON",GEORGE WASHINGTON CARVER,"00 and returned to his former home in Missouri. Education:Iowa State University of Agricultural and Mechanical Arts, B.S. degree i",,,
"DANGAIX, WILLIAM JOSEPH",WILLIAM JOSEPH DANGAIX,":
Businessman (banking, insurance, real estate). Born:September 16, 1864, Philadelphia, Pa. Parents:Jo",,,
"HARDING, WILLIAM PROCTOR GOULD",WILLIAM PROCTOR GOULD HARDING,NOT FOUND,,,
"LOVEMAN, ROBERT",ROBERT LOVEMAN,ed the University of Alabama. Lived in the Battle-Friedman House with the Friedman family while attending UA. Lived in Dalton most,,,
"PENNY, KATE MAYHEW SPEAKE",KATE MAYHEW SPEAKE PENNY,NOT FOUND,,,
"ROSS, BENNETT BATTLE",BENNETT BATTLE ROSS,"and the University of Berlin. Taught at Louisiana State University, 1887-1893 assistant chemiSt Alabama Polytechnic Institute, 188",,,
"YERBY, WILLIAM EDWARD WADSWORTH",WILLIAM EDWARD WADSWORTH YERBY,NOT FOUND,,,
"COCKE, SARAH COBB JOHNSON",SARAH COBB JOHNSON COCKE,NOT FOUND,,,
"MANLY, JOHN MATTHEWS",JOHN MATTHEWS MANLY,NOT FOUND,,,
"FINNELL, WOOLSEY",WOOLSEY FINNELL,NOT FOUND,,,
"MOSELEY, ELLA LOWERY",ELLA LOWERY MOSELEY,NOT FOUND,,,
"WORK, MONROE NATHAN",MONROE NATHAN WORK,NOT FOUND,,,
"BEESON, JASPER LUTHER",JASPER LUTHER BEESON,NOT FOUND,,,
"BOLES, WILLIAM J.",WILLIAM J. BOLES,NOT FOUND,,,
"MELTON, WIGHTMAN FLETCHER",WIGHTMAN FLETCHER MELTON,NOT FOUND,,,
"MOTON, ROBERT RUSSA",ROBERT RUSSA MOTON,"908. Children:Five. Education:Taught by mother attended free school for Negroes Hampton Institute, 1885-1891. Commandant of studen",,,
"VINES, WILLIAM MADISON",WILLIAM MADISON VINES,NOT FOUND,,,
"CROSSFIELD, RICHARD HENRY",RICHARD HENRY CROSSFIELD,NOT FOUND,,,
"DUGGAR, JOHN FREDERICK",JOHN FREDERICK DUGGAR,"d the University of Colorado. Taught at Texas A & M College, 1887-1889 edited Southern Live Stock Journal, Starkville, Mississippi",,,
"CONNELL, LUTHER ALLEN",LUTHER ALLEN CONNELL,"el (Gray) Connell. The family moved to Jefferson County when Luther was eight years old. Married:Vesta M. Shirley, November 20, 18",,,
"DAVIDSON, HENRY DAMON",HENRY DAMON DAVIDSON,NOT FOUND,,,
"EDWARDS, WILLIAM JAMES",WILLIAM JAMES EDWARDS,NOT FOUND,,,
"GAINES, MARION TOULMIN",MARION TOULMIN GAINES,"yellow fever epidemic of 1897 practiced medicine, 1904- during World War I, served as Captain, Medical Corps, Camp Sevier, S.C. af",,,
"HUDDLESTON, GEORGE",GEORGE HUDDLESTON,ressive policiessupported the home building bill that was the predecessor of the Federal Home Loan Act sponsored a public works bi,,,
"LODING, HENRY PEDER",HENRY PEDER LODING,NOT FOUND,,,
"MURPHY, EDGAR GARDNER",EDGAR GARDNER MURPHY,NOT FOUND,,,
"OWEN, MARIE BANKHEAD",MARIE BANKHEAD OWEN,NOT FOUND,,,
"RUTH, WILLIAM HARDWICK",WILLIAM HARDWICK RUTH,"ery. Member social, literary, business clubs Commercial and Industrial Associations (Chamber of Commerce) Episcopal Church trustee",,,
"TYLER, ROBERT ENOC",ROBERT ENOC TYLER,"hern University, Ph.D., 1893. Taught at Wylam, Jefferson County, Ala. Joined the North Alabama Conference of the Methodist Episcop",,,
"ADAMS, GEORGE IRVING",GEORGE IRVING ADAMS,NOT FOUND,,,
"BARTON, LEVI ELDER",LEVI ELDER BARTON,NOT FOUND,,,
"CRANE, WALTER RICHARD",WALTER RICHARD CRANE,NOT FOUND,,,
"EASBY-SMITH, JAMES STANISLAUS",JAMES STANISLAUS EASBY-SMITH,"rney in Washington, 1904-1906.Practiced law in Washington. Quizmaster (instructor) at Georgetown College Law School taught constit",,,
"HOBSON, RICHMOND PEARSON",RICHMOND PEARSON HOBSON,NOT FOUND,,,
"ROBERTS, THOMAS KEENER",THOMAS KEENER ROBERTS,NOT FOUND,,,
"SAFFOLD, MILDRED REYNOLDS",MILDRED REYNOLDS SAFFOLD,NOT FOUND,,,
"MARTIN, WILL IRVIN",WILL IRVIN MARTIN,NOT FOUND,,,
"DUGGAR, BENJAMIN MINGE",BENJAMIN MINGE DUGGAR,NOT FOUND,,,
"HORNADY, JOHN RANDOLPH, JR.","JOHN RANDOLPH HORNADY, JR.",NOT FOUND,,,
"HOWELL, ARTHUR HOLMES",ARTHUR HOLMES HOWELL,NOT FOUND,,,
"LINCOLN, RIXFORD JOSEPH",RIXFORD JOSEPH LINCOLN," other New Orleans newspapers practiced law in New Orleans 15 years taught French, English, history and political science at schoo",,,
"McILHENNY, EDWARD AVERY",EDWARD AVERY McILHENNY,":
Businessman conservationist explorer. Born:March 29, 1872, Avery Island, La. Parents:Edmund and Mary",,,
"MERTINS, GUSTAVE FREDERICK",GUSTAVE FREDERICK MERTINS,NOT FOUND,,,
"WEIL, ADELE KAHN",ADELE KAHN WEIL,NOT FOUND,,,
"BLAIR, ALGERNON",ALGERNON BLAIR,NOT FOUND,,,
"CHAPMAN, KATHARINE HOPKINS",KATHARINE HOPKINS CHAPMAN,NOT FOUND,,,
"COYLE, JAMES EDWIN",JAMES EDWIN COYLE,NOT FOUND,,,
"FRAZER, WILLIAM HENRY",WILLIAM HENRY FRAZER,NOT FOUND,,,
"HARRIS, MAY",MAY HARRIS,"renshaw) Harris. Education:At home and with private tutors. Contributor of short stories, essays, and one-act plays to Harpers Mag",,,
"McCONNELL, ANDREW M.",ANDREW M. McCONNELL,NOT FOUND,,,
"McDAVID, MITTIE ROSE OWEN",MITTIE ROSE OWEN McDAVID,NOT FOUND,,,
"ROWLEY, DAISY WOODRUFF",DAISY WOODRUFF ROWLEY,NOT FOUND,,,
"BOND, ALBERT RICHMOND",ALBERT RICHMOND BOND,NOT FOUND,,,
"FLEMING, WALTER LYNWOOD",WALTER LYNWOOD FLEMING,"e Spanish-American War, 1898. Taught at West Virginia University, 1903-1907 Louisiana State University, 1907-1917 Vanderbilt Unive",,,
"JONES, THOMAS G.",THOMAS G. JONES,NOT FOUND,,,
"RUSSELL, MILDRED BREWER",MILDRED BREWER RUSSELL,NOT FOUND,,,
"SWARTZ, MIFFLIN WYATT",MIFFLIN WYATT SWARTZ,"ied at University of Chicago. Taught at Winchester, Va. Ft. Worth, TX Milwaukee (Wisc.) Academy and at Millsaps College (Miss.) pr",,,
"WHEELER, HARRY EDGAR",HARRY EDGAR WHEELER,NOT FOUND,,,
"BURCHARD, ERNEST F.",ERNEST F. BURCHARD,NOT FOUND,,,
"COLLEY, JAMES OSCAR",JAMES OSCAR COLLEY," superintendent of children's home. Born April 3, 1875, Coosa County. Parents:Jesse Allen Colley and Frances Akin Colley. Married ",,,
"DUNCAN, LUTHER NOBLE",LUTHER NOBLE DUNCAN,"d the University of Illinois. Taught agriculture in high schools, 1900-1905 instructor and supervisor of agronomy research at the ",,,
"RIVES, JOHN ROBERT THOMAS",JOHN ROBERT THOMAS RIVES,NOT FOUND,,,
"ARMES, ETHEL MARIE",ETHEL MARIE ARMES,NOT FOUND,,,
"CATTS, SAMUEL WALKER",SAMUEL WALKER CATTS,":
Farmer, businessman. Born: November 18, 1876, Pleasant Hill. Parents:John Smyly and Maude Mae (Caffey) Catts",,,
"DAUGETTE, ANNIE ROWAN FORNEY",ANNIE ROWAN FORNEY DAUGETTE,NOT FOUND,,,
"DAVIS, GEORGE JACOB",GEORGE JACOB DAVIS,"ell University, B.C.E., 1902. Taught engineering at the University of Wisconsin, 1902-1912 University of Alabama, 1912-1946 dean o",,,
"DAWSON, JOHN CHARLES",JOHN CHARLES DAWSON,"ro Baptist Institute, 1901-03 taught at Howard College, 1903-1917 dean, 1917 acting president, 1917, 1921 president, 1921-31. Head",,,
"GWALTNEY, LESLIE LEE",LESLIE LEE GWALTNEY,NOT FOUND,,,
"HUEY, MATTIE MARIE McADORY",MATTIE MARIE McADORY HUEY,NOT FOUND,,,
"STUART, JOHN LEIGHTON",JOHN LEIGHTON STUART,"try missionary to China, 1905 taught at Nanking Theological Seminary 1908-1919 president of merged Peking University and North Chi",,,
"COMER, JAMES McDONALD",JAMES McDONALD COMER,NOT FOUND,,,
"McLESTER, JAMES SOMERVILLE",JAMES SOMERVILLE McLESTER,NOT FOUND,,,
"MORRISS, ELIZABETH CLEVELAND",ELIZABETH CLEVELAND MORRISS,NOT FOUND,,,
"ROTH, GERTRUDE WOOLLEY",GERTRUDE WOOLLEY ROTH,NOT FOUND,,,
"TATUM, EDITH BRITTAIN CRENSHAW",EDITH BRITTAIN CRENSHAW TATUM,ren:One. Education:studied in homes of her father and her aunt studied voice and piano under William Battenhausen did further stud,,,
"AMERINE, WILLIAM HENRY",WILLIAM HENRY AMERINE,NOT FOUND,,,
"BULLOCK-WILLIS, VIRGINIA",VIRGINIA BULLOCK-WILLIS,s in Alabama and Mississippi. Taught French in the Washington area and at times served as interpreter for officers and wives of th,,,
"CRENSHAW, PAULINE SMITH",PAULINE SMITH CRENSHAW,NOT FOUND,,,
"DOWELL, SPRIGHT",SPRIGHT DOWELL,NOT FOUND,,,
"EDMONDS, HENRY MORRIS",HENRY MORRIS EDMONDS,NOT FOUND,,,
"EDWARDS, CHRISTINE WILLIAMS",CHRISTINE WILLIAMS EDWARDS,NOT FOUND,,,
"HARPER, ROLAND McMILLAN",ROLAND McMILLAN HARPER,NOT FOUND,,,
"MORRISON, FLORENCE HOBSON",FLORENCE HOBSON MORRISON,NOT FOUND,,,
"MOSES, ALFRED GEIGER",ALFRED GEIGER MOSES,NOT FOUND,,,
"MOSES, MONTROSE JONAS",MONTROSE JONAS MOSES,NOT FOUND,,,
"ROCHE, EMMA LANGDON",EMMA LANGDON ROCHE,NOT FOUND,,,
"STANLEY, CASSIUS MILLER",CASSIUS MILLER STANLEY,NOT FOUND,,,
"WATERMAN, ANNIE LOUISE",ANNIE LOUISE WATERMAN,NOT FOUND,,,
"BEESON, MALCOLM ALFRED",MALCOLM ALFRED BEESON," at Johns Hopkins University. Taught at East Mississippi Female College, 1900-01 president of Meridian Male College, 1903-1914. Pr",,,
"BURKE, MALCOLM CLAYTON, JR.",MALCOLM CLAYTON BURKE JR. ,"rsity of Munich, Ph.D., 1908. Taught Greek at the University of Alabama, 1901-1905, 1908-1917. 1st Lt., Corps of Interprs, WWI. Se",,,
"CATCHINGS, WADDILL",WADDILL CATCHINGS,":
Business executive economiSt Born:September 6, 1879, Sewanee, Tenn. Parents:Silas Fly and Nora Belle",,,
"CURZON, GRACE ELVINA TRILLIA HINDS",GRACE ELVINA TRILLIA HINDS CURZON,NOT FOUND,,,
"HENRY, WAIGHTS GIBBS",WAIGHTS GIBBS HENRY,NOT FOUND,,,
"MALLORY, KATHLEEN MOORE",KATHLEEN MOORE MALLORY,NOT FOUND,,,
"SCROGGS, WILLIAM OSCAR",WILLIAM OSCAR SCROGGS,NOT FOUND,,,
"SPRATT, ROBERT DAVIS",ROBERT DAVIS SPRATT,NOT FOUND,,,
"BODDIE, JOHN BENNETT, JR.",JOHN BENNETT BODDIE JR.,"Chicago, 1914-1917, 1919-1923 practiced law in Chicago. Fellow of the American Society of Genealogists. Died January 2, 1965. Died",,,
"GANEY, JOSEPH SAMUEL",JOSEPH SAMUEL GANEY,NOT FOUND,,,
"HENLEY, JOHN CHARLES, JR.","JOHN CHARLES HENLEY, JR.",NOT FOUND,,,
"JAMES, POWHATAN WRIGHT",POWHATAN WRIGHT JAMES,"e W. Truett). Children:Three. Practiced law in Virginia before entering the clergy. Education:Seminary in Alabama, graduated 1913.",,,
"KELLER, HELEN ADAMS",HELEN ADAMS KELLER,NOT FOUND,,,
"WILKES, WILLIAM PUGH",WILLIAM PUGH WILKES,NOT FOUND,,,
"CARMICHAEL, WAVERLY TURNER",WAVERLY TURNER CARMICHAEL,NOT FOUND,,,
"CHANDLER, WILLIAM TEMPLE HATCHETT",WILLIAM TEMPLE HATCHETT CHANDLER,NOT FOUND,,,
"FIES, ROSE MAYER",ROSE MAYER FIES,NOT FOUND,,,
"GARRETT, MITCHELL BENNETT",MITCHELL BENNETT GARRETT,NOT FOUND,,,
"JACK, THEODORE HENLEY",THEODORE HENLEY JACK,"sity of Chicago, Ph.D., 1915. Taught at Sewanee Grammar School at the University of the South, 1903-06 Tulane University, Harvard ",,,
"LITTLE, ROBERT IRVING",ROBERT IRVING LITTLE,NOT FOUND,,,
"LLOYD, STEWART JOSEPH",STEWART JOSEPH LLOYD,NOT FOUND,,,
"MARTIN, THOMAS WESLEY",THOMAS WESLEY MARTIN,":
Attorney businessman president of Alabama Power Company and the Southern Company civic leader. Born:Scottsbor",,,
"SEAY, FRANK",FRANK SEAY,NOT FOUND,,,
"SHEEHAN, ELIZABETH HOUSTON WINSTON",ELIZABETH HOUSTON WINSTON SHEEHAN,NOT FOUND,,,
"SNAVELY, GUY EVERETT",GUY EVERETT SNAVELY,NOT FOUND,,,
"BOHANNON, WILLIAM EVERETTE",WILLIAM EVERETTE BOHANNON," University of Chicago, 1916. Taught in the rural schools of Kentucky for two years superintendent of schools in Kentucky, Louisia",,,
"BRANNON, PETER ALEXANDER",PETER ALEXANDER BRANNON,"10 spent the remainder of his career with the Alabama Department of Archives and History, serving as curator, 1910-1941 archivist,",,,
"BROOKS, BESSIE ATKINS",BESSIE ATKINS BROOKS,NOT FOUND,,,
"CHAPPELL, CLOVIS GILLHAM",CLOVIS GILLHAM CHAPPELL,NOT FOUND,,,
"DAVIS, HARWELL GOODWIN",HARWELL GOODWIN DAVIS,NOT FOUND,,,
"MEADOWS, THOMAS BURTON",THOMAS BURTON MEADOWS,NOT FOUND,,,
"MOORE, WILLIAM DAVIS",WILLIAM DAVIS MOORE,NOT FOUND,,,
"SMITH, HOLLAND McTYEIRE",HOLLAND McTYEIRE SMITH,NOT FOUND,,,
"CALLOWAY, ABRAM ARTEMUS",ABRAM ARTEMUS CALLOWAY,NOT FOUND,,,
"COOK, ELLA BOOKER",ELLA BOOKER COOK,"o the farm from time to time. Lived in Houston, Texas, after her marriage. Worked as an artist (drawings). Died December 26, 1974.",,,
"CRAVNER, WILLIAM CHARLES",WILLIAM CHARLES CRAVNER,NOT FOUND,,,
"CRUMPTON, ETHEL HOWARD",ETHEL HOWARD CRUMPTON,"ngo County Schools, 1935-1938 taught at Carlowville High School, 1935-1947. Died May 24, 1975.
",,,
"McDUFFIE, JOHN",JOHN McDUFFIE,NOT FOUND,,,
"BIDGOOD, LEE",LEE BIDGOOD,"labama school of Commerce and Business Administration served as its first dean, 1919-1954. Served as interim president of the Univ",,,
"CLARK, JOHN BUNYAN",JOHN BUNYAN CLARK,NOT FOUND,,,
"DAVIS, WILLIAM WATSON",WILLIAM WATSON DAVIS,NOT FOUND,,,
"GLAZNER, JOHN FRANK",JOHN FRANK GLAZNER,NOT FOUND,,,
"HALL, GROVER CLEVELAND",GROVER CLEVELAND HALL,NOT FOUND,,,
"HIBBEN, SHEILA",SHEILA HIBBEN,"n Hibben, 1916. Children:One. Lived in Greece and Russia with her husband, an American diplomat. After his death in 1928, a reside",,,
"HUEY, THOMAS EDWARD",THOMAS EDWARD HUEY,"oad, two years fire insurance business thereafter. Elected to the Alabama State Legislature from Jefferson County, 1918. Died Janu",,,
"SEARCY, HARVEY BROWN",HARVEY BROWN SEARCY,NOT FOUND,,,
"SEIBELS, FANNY LOCKETT MARKS",FANNY LOCKETT MARKS SEIBELS," City, Chicago, and in Europe taught violin at Judson College led Music Appreciation Club and Lanier High School orchestra in Mont",,,
"TYNES, MARY ELLA POLLARD",MARY ELLA POLLARD TYNES,NOT FOUND,,,
"WOODRUFF, LORENZO FERGUSON",LORENZO FERGUSON WOODRUFF,NOT FOUND,,,
"AYERS, HARRY MELL",HARRY MELL AYERS,NOT FOUND,,,
"CARROLL, MARY TARVER",MARY TARVER CARROLL,NOT FOUND,,,
"COBB, NED",NED COBB,NOT FOUND,,,
"FRAZER, JOHN WILLIAM",JOHN WILLIAM FRAZER,NOT FOUND,,,
"LAZENBY, MARION ELIAS",MARION ELIAS LAZENBY,"Born:February 8, 1885, Forest Home. Parents:James Elias and Mary Elizabeth (Greene) Lazenby. Married:Mary Feagin, June 17, 1908. M",,,
"CLARK, ELMER TALMAGE",ELMER TALMAGE CLARK,NOT FOUND,,,
"DOBBINS, GAINES STANLEY",GAINES STANLEY DOBBINS,1915-1920 founded the journal Home and Foreign Fields and continued to edit it for many years. A professor at the Southern Baptist,,,
"FEIDELSON, CHARLES N.",CHARLES N. FEIDELSON,"ted to the Georgia Bar, 1908. Practiced law in Savannah judge of juvenile court, 1915-1919 editor of the Wilmington (N.C.) Star, 1",,,
"TAYLOR, LILY ROSS",LILY ROSS TAYLOR,"grees to women in the field). Taught at Bryn Mawr 1908-1909, 1910-1912 at Vassar College, 1912-27 at Bryn Mawr as professor of cla",,,
